name,definition,difficulty
trinken,,A1
tun,,A1
die Uhr,,A1
um,,A1
umziehen,,A1
und,,A1
unser,,A1
unten,,A1
unter,,A1
der Unterricht,,A1
unterschreiben,,A1
die Unterschrift,,A1
der Urlaub,,A1
der Vater,,A1
verboten,,A1
verdienen,,A1
der Verein,,A1
verkaufen,,A1
der Verkäufer,,A1
vermieten,,A1
der Vermieter,,A1
verstehen,,A1
"die Verwandte, der Verwandte",,A1
viel,,A1
vielleicht,,A1
vier,,A1
vierte,,A1
das Viertel,,A1
vierzehn,,A1
vierzig,,A1
von,,A1
vor,,A1
der Vormittag,,A1
der Vorname,,A1
die Vorsicht,,A1
vorstellen,,A1
die Vorwahl,,A1
der Wagen,,A1
wandern,,A1
wann,,A1
warten,,A1
warum,,A1
was,,A1
waschen,,A1
das Wasser,,A1
weg sein,,A1
weh tun,,A1
wehtun,,A1
weiblich,,A1
der Wein,,A1
weit,,A1
weiter,,A1
weiß,,A1
welche,,A1
welcher,,A1
welches,,A1
die Welt,,A1
wenig,,A1
wer,,A1
werden,,A1
der Westen,,A1
das Wetter,,A1
wichtig,,A1
wie,,A1
wie viel,,A1
wieder,,A1
wieder holen,,A1
wiederholen,,A1
das Wiederhören,,A1
das Wiedersehen,,A1
willkommen,,A1
der Wind,,A1
der Winter,,A1
wir,,A1
wissen,,A1
wo,,A1
die Woche,,A1
das Wochenende,,A1
der Wochentag,,A1
woher,,A1
wohin,,A1
wohnen,,A1
die Wohnung,,A1
wollen,,A1
wunderbar,,A1
zahlen,,A1
zehn,,A1
die Zeit,,A1
die Zeitung,,A1
der Zentimeter,,A1
die Zigarette,,A1
das Zimmer,,A1
zirka,,A1
der Zoll,,A1
zu,,A1
zu sein,,A1
zufrieden,,A1
der Zug,,A1
zurzeit,,A1
zurück,,A1
zusammen,,A1
zwanzig,,A1
zwei,,A1
zweihundert,,A1
zweite,,A1
zwischen,,A1
zwölf,,A1
öffnen,,A1
das Öl,,A1
über,,A1
übernachten,,A1
überweisen,,A1
abschließen,,A2
die Ahnung,,A2
aktiv,,A2
aktuell,,A2
als,,A2
die Ampel,,A2
anders,,A2
die Angst,,A2
ansehen,,A2
der Anzug,,A2
die Apotheke,,A2
der Apparat,,A2
arm,,A2
der Artikel,,A2
auf jeden Fall,,A2
auf keinen Fall,,A2
aufmachen,,A2
aufpassen,,A2
aufregen,,A2
aufräumen,,A2
die Ausbildung,,A2
ausgeben,,A2
ausgehen,,A2
auspacken,,A2
ausruhen,,A2
aussprechen,,A2
die Ausstellung,,A2
austauschen,,A2
austragen,,A2
außer,,A2
außerdem,,A2
außerhalb,,A2
der Babysitter,,A2
backen,,A2
der Ball,,A2
die Band,,A2
der Basketball,,A2
basteln,,A2
bauen,,A2
die Baustelle,,A2
beantworten,,A2
bedanken,,A2
beeilen,,A2
beenden,,A2
begründen,,A2
beliebt,,A2
bequem,,A2
beraten,,A2
der Berg,,A2
berichten,,A2
berühmt,,A2
der Bescheid,,A2
beschreiben,,A2
beschweren,,A2
besonders,,A2
bestehen,,A2
bestätigen,,A2
der Besuch,,A2
besucht,,A2
bewerben,,A2
die Bewerbung,,A2
bewölkt,,A2
die Bibliothek,,A2
das Blatt,,A2
"das Blog, der Blog",,A2
blond,,A2
die Bluse,,A2
blöd,,A2
blöde,,A2
die Bohne,,A2
braten,,A2
die Brille,,A2
die Brücke,,A2
buchen,,A2
bunt,,A2
das Büro,,A2
die Cafeteria,,A2
chatten,,A2
die Chefin,,A2
der Circus,,A2
der Club,,A2
der Comic,,A2
die Creme,,A2
die Crème,,A2
dabei,,A2
dafür,,A2
dagegen,,A2
